,block_number,log_index,transaction_hash,to_address,from_address,token_address,value
0,14162484,218,0x6d311b818df10c6120a38487bc6d93a995bd9b95a6989bcd4f5b036eba466ebc,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x5f65f7b609678448494de4c87521cdf6cef1e932,0x6b175474e89094c44da98b954eedeac495271d0f,87308535000000000000
1,14213126,543,0x908f318906280ae6c7b1d35c958a6ac65cc7ddd315e02012b0c913975d68c00b,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x414709bd112d006cbb85be21a9e19bf9bce8657e,0x68cfb82eacb9f198d508b514d898a403c449533e,127451000000000007602176
2,14508644,167,0xd6f6cc9968a1702a30615b2ce7492d08aee355dfae08bbd8d8a65c854b0fd289,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xc8fa398f34a44abf701dabfeedcb70223ee80490,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2198580000
3,14839299,99,0x9a33f033b590407d9e17aa2650c5ba2c69e0c489ce64585bcc3f879a6d73bf86,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,113301399680229002795931218062556614824254317836579654673200001859729181638656
4,14849100,127,0xc27e9e075451ea07bbfa0d6c3cccba1b7ba31a4bbd650f252addd794bbc00161,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xc8fa398f34a44abf701dabfeedcb70223ee80490,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,273080000
5,14858869,2189,0xfd85c75c9c4a27b4cfc957668e3b9620c1aeeb25f9d8e080b64a21795bf52174,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x471c3a7f132bc94938516cb2bf6f02c7521d2797,0x471c3a7f132bc94938516cb2bf6f02c7521d2797,250457000000000003932160
6,15028795,372,0xbb29ce7c345545ab3473359214ba6e445281bb55e745e99a7550fd618c5ee94b,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-200000000
7,15041935,538,0x0297b17035adf998456d21ecf0f5912b29696f1231d8ae0eb1a5695d0f8109b8,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xc8fa398f34a44abf701dabfeedcb70223ee80490,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,519030000
8,15042886,623,0x01d8d554b319b0bdfe9d7b4defd491e0194dab630de3a1d5d5a6c9c67683639b,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x283af0b28c62c092c9727f1ee09c02ca627eb7f5,0x57f1887a8bf19b14fc0df6fd9b2acc9af147ea85,96427987394098193585228441515932249157274013648201436510946477539141001150464
9,15062673,152,0x9534191274052b29fe42210f1544097b1782f50b25cd03f5301f8e547b74eb1c,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xd533a949740bb3306d119cc777fa900ba034cd52,132490676976605000000
10,15062673,146,0x9534191274052b29fe42210f1544097b1782f50b25cd03f5301f8e547b74eb1c,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-100000000
11,15067846,62,0x922a140c5aefa98216ddd545b8aa7d237302f394c3333579ecbee79a5001422e,0x8014595f2ab54cd7c604b00e9fb932176fdc86ae,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xd533a949740bb3306d119cc777fa900ba034cd52,-132490676976605000000
12,15067869,28,0xff9939b22afc969eb1d1e8640527ca156a1cfb011fcf794290f52089e2e9f693,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,25215818107322700000
13,15067869,19,0xff9939b22afc969eb1d1e8640527ca156a1cfb011fcf794290f52089e2e9f693,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-100000000
14,15067883,433,0xf172d8797f012f5673baea774a28e6dfad89a462f7988ea8650183b10e533eb1,0x72a19342e8f1838460ebfccef09f6585e32db86e,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,-25215818107322700000
15,15179382,23,0x061dccfc940fa18fdf14c607cbf6514ce198380dbe381b49ff5cb8357a324a53,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,-300000000
16,15179382,28,0x061dccfc940fa18fdf14c607cbf6514ce198380dbe381b49ff5cb8357a324a53,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xd533a949740bb3306d119cc777fa900ba034cd52,238779671736743000000
17,15179392,256,0x6e795e6be6f4c84abd11417155e7bacedca78ae2562235cb608475abf8850873,0x8014595f2ab54cd7c604b00e9fb932176fdc86ae,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xd533a949740bb3306d119cc777fa900ba034cd52,-238779671736743000000
18,15180328,407,0xa149d13f9e5e7fb8b7c91d855f21a7d890beccf1c0a58a07b1277d5b8d4387cf,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xf326e4de8f66a0bdc0970b79e0924e33c79f1915,0xbd366cfc81a88ed750036675cfa8e5344dad7bea,1000
19,15186950,11,0x943b9c14cae1f2265530da05f72c61e63661ad6920accd1f535d3423664e3194,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x74de5d4fcbf63e00296fd95d33236b9794016631,0xd533a949740bb3306d119cc777fa900ba034cd52,3611424619751550222336
20,15186950,0,0x943b9c14cae1f2265530da05f72c61e63661ad6920accd1f535d3423664e3194,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x68cfb82eacb9f198d508b514d898a403c449533e,-60000000000000000000000
21,15187694,115,0x3b2ce990cb9753d0a1eb92702d966b9f01d07c5082193a9a61bb89d6531b3beb,0x8014595f2ab54cd7c604b00e9fb932176fdc86ae,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0xd533a949740bb3306d119cc777fa900ba034cd52,-3611424619751550222336
22,15189019,4,0x88f215502dc4f66ce33b5141262bde07b279793edaa3cd0ad28a560f2768c32f,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x68cfb82eacb9f198d508b514d898a403c449533e,-64999999999999997902848
23,15189019,14,0x88f215502dc4f66ce33b5141262bde07b279793edaa3cd0ad28a560f2768c32f,0x109b3c39d675a2ff16354e116d080b94d238a7c9,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,246604502134845000000
